0.02	-0.03	1.02
0.02	-0.04	1.02
0.02	-0.04	1.02
0.02	-0.03	1.02
0.02	-0.04	1.02
0.02	-0.05	1.02
0.02	-0.04	1.02
0.02	-0.03	1.02
0.03	-0.04	1.03
0.03	-0.04	1.02
0.02	-0.03	1.02
0.02	-0.04	1.02
0.02	-0.05	1.02
0.01	-0.04	1.01
0.02	-0.04	1.02
0.02	-0.04	1.02
0.02	-0.03	1.03
0.03	-0.04	1.03
0.03	-0.04	1.01
0.02	-0.03	1.02
0.02	-0.04	1.02
0.02	-0.03	1.02
0.02	-0.03	1.02
0.02	-0.03	1.02
0.02	-0.05	1.02
0.02	-0.04	1.01
0.02	-0.03	1.02
0.03	-0.04	1.02
0.02	-0.03	1.02
0.02	-0.03	1.02
0.02	-0.03	1.02
0.02	-0.04	1.01
0.02	-0.04	1.02
0.02	-0.04	1.02
0.02	-0.04	1.02
0.02	-0.04	1.02
0.02	-0.04	1.02
0.02	-0.03	1.02
0.03	-0.03	1.01
0.02	-0.03	1.02
0.03	-0.04	1.03
0.02	-0.04	1.02
0.02	-0.04	1.02
0.02	-0.04	1.02
0.02	-0.03	1.02
0.03	-0.04	1.03
0.02	-0.04	1.02
0.02	-0.03	1.01
0.02	-0.03	1.01
0.02	-0.04	1.02
0.02	-0.03	1.03
0.03	-0.04	1.02
0.02	-0.04	1.02
0.02	-0.02	1.02
0.02	-0.03	1.02
0.03	-0.04	1.03
0.03	-0.04	1.02
0.02	-0.03	1.03
0.01	-0.03	1.02
0.02	-0.03	1.01
0.02	-0.04	1.03
0.02	-0.04	1.02
0.02	-0.03	1.02
0.02	-0.03	1.01
0.03	-0.03	1.02
0.02	-0.03	1.03
0.03	-0.03	1.02
0.02	-0.03	1.02
0.02	-0.03	1.02
0.02	-0.03	1.02
0.02	-0.03	1.02
0.02	-0.03	1.03
0.02	-0.04	1.02
0.02	-0.04	1.02
0.02	-0.04	1.02
0.02	-0.04	1.02
0.03	-0.04	1.02
0.02	-0.04	1.02
0.02	-0.03	1.02
0.02	-0.03	1.02
0.02	-0.04	1.02
0.03	-0.04	1.02
0.02	-0.03	1.02
0.02	-0.03	1.02
0.02	-0.04	1.01
0.03	-0.04	1.02
0.03	-0.04	1.03
0.02	-0.03	1.03
0.01	-0.03	1.02
0.02	-0.03	1.02
0.03	-0.04	1.02
0.03	-0.04	1.04
0.02	-0.04	1.02
0.02	-0.04	1.01
0.02	-0.03	1.02
0.02	-0.03	1.02
0.02	-0.03	1.02
0.02	-0.04	1.02
0.02	-0.03	1.02
0.02	-0.03	1.02
0.02	-0.04	1.02
0.02	-0.04	1.02
0.02	-0.03	1.02
0.03	-0.03	1.02
0.02	-0.04	1.03
0.03	-0.04	1.03
0.02	-0.04	1.03
0.02	-0.04	1.02
0.02	-0.04	1.02
0.02	-0.03	1.02
0.02	-0.03	1.02
0.03	-0.04	1.02
0.02	-0.03	1.02
0.02	-0.03	1.02
0.02	-0.03	1.02
0.03	-0.04	1.02
0.02	-0.04	1.01
0.02	-0.03	1.01
0.02	-0.04	1.02
0.02	-0.03	1.02
0.02	-0.03	1.02
0.02	-0.04	1.02
0.03	-0.03	1.02
0.02	-0.03	1.02
0.02	-0.04	1.03
0.02	-0.03	1.02
0.02	-0.03	1.02
0.02	-0.04	1.01
0.02	-0.04	1.02
0.02	-0.03	1.03
0.03	-0.04	1.02
0.03	-0.04	1.02
0.02	-0.03	1.02
0.02	-0.04	1.02
0.02	-0.04	1.02
0.01	-0.04	1.02
0.02	-0.03	1.03
0.02	-0.04	1.02
0.02	-0.05	1.01
0.02	-0.04	1.02
0.02	-0.03	1.02
0.02	-0.03	1.04
0.03	-0.04	1.03
0.02	-0.03	1.02
0.02	-0.03	1.02
0.02	-0.03	1.02
0.02	-0.04	1.02
0.02	-0.04	1.03
0.02	-0.03	1.02
0.02	-0.03	1.01
0.02	-0.04	1.01
0.02	-0.03	1.02
0.02	-0.04	1.02
0.02	-0.04	1.02
0.02	-0.03	1.01
0.02	-0.03	1.01
0.02	-0.03	1.01
0.02	-0.03	1.02
0.03	-0.03	1.02
0.02	-0.03	1.03
0.02	-0.03	1.02
0.02	-0.03	1.01
0.02	-0.04	1.02
0.02	-0.03	1.02
0.02	-0.04	1.02
0.03	-0.04	1.01
0.02	-0.03	1.02
0.02	-0.03	1.03
0.03	-0.04	1.02
0.02	-0.03	1.01
0.02	-0.02	1.01
0.02	-0.03	1.02
0.02	-0.04	1.02
0.02	-0.04	1.03
0.02	-0.03	1.02
0.02	-0.03	1.02
0.03	-0.04	1.02
0.03	-0.03	1.02
0.02	-0.02	1.03
0.02	-0.03	1.02
0.02	-0.03	1.02
0.02	-0.03	1.02
0.02	-0.03	1.03
0.03	-0.03	1.03
0.02	-0.04	1.02
0.02	-0.04	1.02
0.02	-0.03	1.02
0.02	-0.03	1.02
0.02	-0.03	1.03
0.02	-0.04	1.03
0.02	-0.04	1.02
0.02	-0.02	1.02
0.02	-0.03	1.02
0.03	-0.04	1.02
0.02	-0.04	1.02
0.02	-0.03	1.02
0.02	-0.03	1.02
0.02	-0.03	1.03
0.02	-0.04	1.03
0.02	-0.03	1.02
0.02	-0.03	1.03
0.02	-0.03	1.02
0.02	-0.03	1.02
0.02	-0.04	1.03
0.02	-0.04	1.03
0.03	-0.04	1.02
0.03	-0.03	1.02
0.02	-0.03	1.04
0.02	-0.04	1.02
0.02	-0.03	1.02
0.02	-0.03	1.02
0.02	-0.04	1.03
0.02	-0.04	1.02
0.03	-0.04	1.02
0.02	-0.04	1.02
0.03	-0.03	1.02
0.02	-0.03	1.02
0.03	-0.04	1.03
0.03	-0.03	1.02
0.02	-0.02	1.03
0.02	-0.04	1.02
0.02	-0.03	1.02
0.02	-0.04	1.02
0.02	-0.03	1.02
0.02	-0.03	1.03
0.02	-0.04	1.02
0.02	-0.04	1.02
0.03	-0.04	1.02
0.03	-0.03	1.02
0.02	-0.03	1.03
0.02	-0.03	1.03
0.03	-0.03	1.02
0.03	-0.04	1.03
0.02	-0.03	1.03
0.02	-0.04	1.02
0.02	-0.04	1.03
0.02	-0.02	1.02
0.02	-0.04	1.02
0.03	-0.04	1.03
0.02	-0.04	1.03
0.02	-0.03	1.03
0.02	-0.03	1.02
0.03	-0.04	1.02
0.03	-0.04	1.03
0.02	-0.03	1.03
0.02	-0.03	1.02
0.02	-0.03	1.02
0.02	-0.04	1.02
0.03	-0.04	1.02
0.03	-0.05	1.03
0.02	-0.04	1.02
0.02	-0.03	1.03
0.02	-0.03	1.03
0.03	-0.03	1.04
0.03	-0.04	1.03
0.02	-0.03	1.03
0.02	-0.04	1.03
0.02	-0.03	1.03
0.03	-0.04	1.03
0.03	-0.04	1.03
0.03	-0.04	1.02
0.02	-0.04	1.03
0.02	-0.04	1.02
0.03	-0.04	1.02
0.02	-0.04	1.02
0.02	-0.04	1.02
0.02	-0.04	1.02
0.02	-0.03	1.02
0.03	-0.04	1.02
0.02	-0.04	1.03
0.03	-0.03	1.02
0.02	-0.04	1.02
0.02	-0.04	1.03
0.02	-0.04	1.02
0.03	-0.04	1.03
0.02	-0.03	1.02
0.02	-0.03	1.03
0.03	-0.05	1.02
0.02	-0.04	1.02
0.03	-0.04	1.02
0.03	-0.04	1.02
0.02	-0.03	1.01
0.02	-0.03	1.03
0.02	-0.03	1.02
0.02	-0.03	1.04
0.03	-0.04	1.01
0.03	-0.04	1.01
0.03	-0.03	1.03
0.02	-0.03	1.04
0.03	-0.04	1.04
0.03	-0.04	1.02
0.03	-0.04	1.02
0.03	-0.03	1.01
0.02	-0.04	1.03
0.02	-0.03	1.03
0.02	-0.03	1.02
0.02	-0.04	1.01
0.02	-0.04	1.01
0.02	-0.04	1.02
0.02	-0.04	1.03
0.02	-0.03	1.02
0.03	-0.04	1.02
0.03	-0.04	1.02
0.03	-0.04	1.03
0.02	-0.04	1.02
0.02	-0.03	1.02
0.02	-0.04	1.02
0.02	-0.04	1.02
0.03	-0.04	1.02
0.03	-0.04	1.03
0.02	-0.03	1.04
0.03	-0.04	1.02
0.03	-0.04	1.01
0.02	-0.03	1.02
0.02	-0.02	1.03
0.02	-0.03	1.03
0.03	-0.03	1.03
0.02	-0.04	1.02
0.02	-0.03	1.01
0.03	-0.04	1.02
0.03	-0.03	1.03
0.03	-0.04	1.04
0.03	-0.04	1.02
0.02	-0.03	1.02
0.02	-0.04	1.02
0.02	-0.04	1.03
0.02	-0.04	1.03
0.02	-0.03	1.02
0.02	-0.03	1.02
0.02	-0.03	1.01
0.02	-0.04	1.02
0.03	-0.04	1.03
0.03	-0.04	1.02
0.02	-0.04	1.02
0.02	-0.04	1.01
0.02	-0.03	1.02
0.02	-0.03	1.02
0.02	-0.04	1.02
0.02	-0.04	1.02
0.02	-0.03	1.02
0.02	-0.04	1.02
0.03	-0.04	1.02
0.02	-0.04	1.02
0.02	-0.04	1.02
0.02	-0.04	1.02
0.02	-0.04	1.02
0.03	-0.04	1.03
0.03	-0.04	1.02
0.03	-0.03	1.03
0.02	-0.03	1.02
0.02	-0.03	1.02
0.02	-0.04	1.02
0.02	-0.04	1.02
0.02	-0.04	1.02
0.02	-0.04	1.02
0.02	-0.04	1.02
0.03	-0.04	1.02
0.03	-0.03	1.03
0.03	-0.04	1.03
0.02	-0.03	1.02
0.02	-0.03	1.02
0.02	-0.03	1.02
0.03	-0.04	1.03
0.02	-0.04	1.02
0.02	-0.03	1.02
0.02	-0.03	1.02
0.03	-0.04	1.02
0.03	-0.04	1.02
0.02	-0.04	1.03
0.02	-0.04	1.02
0.02	-0.03	1.02
0.02	-0.04	1.02
0.02	-0.04	1.04
0.02	-0.03	1.02
0.02	-0.03	1.02
0.02	-0.03	1.02
0.04	-0.04	1.02
0.02	-0.03	1.02
0.02	-0.02	1.03
0.02	-0.04	1.02
0.02	-0.04	1.02
0.02	-0.04	1.02
0.02	-0.04	1.02
0.03	-0.04	1.02
0.02	-0.03	1.02
0.02	-0.03	1.02
0.02	-0.04	1.01
0.02	-0.03	1.02
0.02	-0.03	1.02
0.02	-0.04	1.02
0.02	-0.04	1.02
0.02	-0.04	1.02
0.02	-0.02	1.03
0.02	-0.03	1.02
0.02	-0.04	1.02
0.03	-0.03	1.02
0.02	-0.03	1.03
0.02	-0.03	1.02
0.02	-0.03	1.02
0.02	-0.03	1.02
0.02	-0.04	1.02
0.02	-0.04	1.02
0.03	-0.04	1.03
0.02	-0.04	1.03
0.02	-0.04	1.02
0.02	-0.04	1.01
0.02	-0.03	1.01
0.02	-0.04	1.02
0.03	-0.03	1.03
0.02	-0.04	1.02
0.02	-0.03	1.02
0.02	-0.03	1.01
0.03	-0.03	1.02
0.02	-0.04	1.02
0.03	-0.04	1.02
0.02	-0.04	1.02
0.02	-0.03	1.02
0.02	-0.04	1.03
0.03	-0.04	1.02
0.02	-0.03	1.03
0.02	-0.04	1.02
0.02	-0.04	1.01
0.02	-0.04	1.03
0.02	-0.03	1.03
0.03	-0.04	1.02
0.03	-0.05	1.02
0.02	-0.04	1.01
0.02	-0.02	1.04
0.02	-0.03	1.02
0.02	-0.04	1.01
0.02	-0.04	1.02
0.03	-0.03	1.02
0.02	-0.03	1.02
0.02	-0.03	1.02
0.02	-0.03	1.03
0.02	-0.04	1.02
0.03	-0.04	1.02
0.02	-0.03	1.03
0.03	-0.04	1.02
0.03	-0.04	1.02
0.02	-0.04	1.02
0.02	-0.03	1.02
0.02	-0.03	1.02
0.02	-0.04	1.03
0.02	-0.03	1.02
0.02	-0.04	1.02
0.03	-0.05	1.01
0.02	-0.04	1.02
0.02	-0.03	1.03
0.02	-0.03	1.03
0.02	-0.04	1.01
0.03	-0.04	1.02
0.02	-0.03	1.02
0.02	-0.03	1.03
0.02	-0.03	1.02
0.02	-0.04	1.01
0.02	-0.04	1.02
0.02	-0.04	1.02
0.02	-0.03	1.02
0.02	-0.04	1.03
0.02	-0.03	1.02
0.02	-0.03	1.02
0.02	-0.03	1.02
0.03	-0.04	1.02
0.03	-0.03	1.03
0.03	-0.03	1.02
0.03	-0.04	1.02
0.02	-0.04	1.02
0.02	-0.03	1.03
0.02	-0.04	1.02
0.03	-0.04	1.02
0.03	-0.03	1.02
0.02	-0.04	1.02
0.02	-0.03	1.03
0.02	-0.03	1.03
0.02	-0.03	1.02
0.03	-0.04	1.02
0.02	-0.03	1.03
0.03	-0.04	1.03
0.02	-0.03	1.02
0.03	-0.04	1.02
0.02	-0.04	1.02
0.02	-0.04	1.02
0.03	-0.05	1.02
0.03	-0.04	1.02
0.02	-0.03	1.03
0.02	-0.04	1.03
0.02	-0.04	1.02
0.02	-0.03	1.02
0.03	-0.04	1.02
0.03	-0.04	1.02
0.03	-0.04	1.02
0.02	-0.03	1.02
0.02	-0.03	1.04
0.03	-0.04	1.02
0.03	-0.04	1.02
0.03	-0.04	1.02
0.02	-0.04	1.03
0.02	-0.04	1.02
0.03	-0.04	1.02
0.03	-0.04	1.02
0.03	-0.04	1.03
0.02	-0.04	1.03
0.03	-0.03	1.02
0.02	-0.03	1.02
0.02	-0.04	1.03
0.02	-0.04	1.03
0.02	-0.03	1.02
0.03	-0.04	1.02
0.02	-0.04	1.02
0.03	-0.04	1.02
0.02	-0.04	1.03
0.02	-0.04	1.03
0.02	-0.04	1.02
0.02	-0.04	1.02
0.02	-0.04	1.02
0.03	-0.04	1.02
0.02	-0.03	1.03
0.02	-0.04	1.03
0.03	-0.05	1.02
0.03	-0.03	1.02
0.02	-0.03	1.03
0.02	-0.04	1.03
0.02	-0.04	1.02
0.02	-0.04	1.02
0.02	-0.04	1.02
0.03	-0.04	1.03
0.03	-0.04	1.02
0.03	-0.04	1.02
0.03	-0.03	1.03
0.02	-0.04	1.02
0.03	-0.04	1.03
0.03	-0.04	1.02
0.03	-0.03	1.03
0.02	-0.04	1.03
0.03	-0.04	1.03
0.02	-0.04	1.02
0.02	-0.04	1.02
0.02	-0.04	1.02
0.02	-0.04	1.02
0.02	-0.04	1.02
0.02	-0.04	1.02
0.02	-0.04	1.02
0.02	-0.03	1.03
0.02	-0.04	1.02
0.02	-0.04	1.02
0.02	-0.04	1.02
0.03	-0.04	1.02
0.02	-0.04	1.03
0.02	-0.03	1.03
0.02	-0.03	1.02
0.03	-0.03	1.02
0.02	-0.04	1.03
0.03	-0.04	1.02
0.03	-0.04	1.02
0.02	-0.03	1.02
0.02	-0.04	1.02
0.03	-0.05	1.02
0.02	-0.03	1.02
0.02	-0.03	1.03
0.03	-0.03	1.02
0.03	-0.04	1.02
0.02	-0.04	1.02
0.02	-0.04	1.02
0.03	-0.04	1.02
0.03	-0.03	1.02
0.03	-0.04	1.03
0.03	-0.04	1.03
0.03	-0.04	1.02
0.02	-0.04	1.03
0.02	-0.03	1.03
0.02	-0.04	1.02
0.03	-0.04	1.02
0.02	-0.04	1.02
0.03	-0.04	1.03
0.03	-0.03	1.03
0.02	-0.03	1.03
0.03	-0.04	1.03
0.03	-0.05	1.01
0.02	-0.04	1.02
0.02	-0.04	1.03
0.03	-0.04	1.03
0.03	-0.04	1.02
0.03	-0.04	1.02
0.02	-0.04	1.02
0.02	-0.04	1.02
0.03	-0.04	1.02
0.02	-0.04	1.04
0.03	-0.04	1.03
0.03	-0.05	1.02
0.02	-0.04	1.02
0.02	-0.04	1.03
0.04	-0.05	1.03
0.03	-0.04	1.02
0.03	-0.04	1.03
0.02	-0.04	1.02
0.02	-0.03	1.02
0.02	-0.04	1.03
0.03	-0.04	1.02
0.03	-0.04	1.03
0.03	-0.05	1.02
0.02	-0.04	1.03
0.02	-0.03	1.03
0.03	-0.04	1.02
0.04	-0.05	1.02
0.02	-0.03	1.03
0.02	-0.03	1.03
0.02	-0.04	1.02
0.03	-0.04	1.02
0.03	-0.04	1.03
0.02	-0.04	1.02
0.03	-0.04	1.02
0.03	-0.03	1.02
0.02	-0.04	1.03
0.02	-0.04	1.03
0.02	-0.04	1.03
0.02	-0.03	1.02
0.03	-0.04	1.02
0.02	-0.04	1.02
0.02	-0.04	1.02
0.03	-0.04	1.02
0.02	-0.03	1.03
0.02	-0.04	1.03
0.03	-0.04	1.02
0.03	-0.04	1.02
0.02	-0.04	1.03
0.02	-0.04	1.02
0.03	-0.05	1.02
0.02	-0.03	1.02
0.02	-0.03	1.03
0.02	-0.03	1.02
0.02	-0.04	1.01
0.02	-0.04	1.02
0.02	-0.04	1.03
0.02	-0.04	1.02
0.02	-0.04	1.02
0.02	-0.03	1.02
0.02	-0.04	1.02
0.03	-0.04	1.02
0.03	-0.04	1.03
0.02	-0.04	1.03
0.02	-0.04	1.02
0.02	-0.04	1.02
0.02	-0.04	1.02
0.02	-0.03	1.03
0.03	-0.04	1.03
0.03	-0.04	1.02
0.02	-0.04	1.02
0.02	-0.04	1.02
0.02	-0.04	1.02
0.02	-0.04	1.02
0.03	-0.04	1.02
0.03	-0.04	1.02
0.02	-0.03	1.03
0.03	-0.04	1.02
0.03	-0.04	1.02
0.02	-0.03	1.03
0.02	-0.03	1.03
0.03	-0.04	1.02
0.02	-0.04	1.02
0.02	-0.04	1.03
0.03	-0.04	1.02
0.03	-0.04	1.02
0.02	-0.04	1.03
0.03	-0.04	1.03
0.02	-0.04	1.02
0.02	-0.04	1.02
0.02	-0.04	1.03
0.02	-0.04	1.02
0.02	-0.04	1.02
0.02	-0.04	1.02
0.02	-0.04	1.03
0.02	-0.04	1.02
0.02	-0.03	1.02
0.02	-0.04	1.04
0.03	-0.04	1.02
0.03	-0.04	1.02
0.02	-0.04	1.02
0.02	-0.04	1.02
0.02	-0.04	1.03
0.02	-0.03	1.02
0.03	-0.04	1.02
0.02	-0.04	1.02
0.02	-0.04	1.03
0.02	-0.03	1.02
0.02	-0.04	1.02
0.03	-0.04	1.02
0.02	-0.03	1.02
0.02	-0.03	1.03
0.02	-0.04	1.03
0.03	-0.04	1.01
0.02	-0.04	1.02
0.02	-0.04	1.03
0.02	-0.04	1.02
0.02	-0.03	1.02
0.02	-0.03	1.03
0.02	-0.04	1.03
0.03	-0.04	1.02
0.03	-0.03	1.02
0.02	-0.04	1.02
0.02	-0.03	1.02
0.02	-0.03	1.03
0.02	-0.02	1.03
0.03	-0.04	1.02
0.03	-0.04	1.02
0.02	-0.04	1.01
0.02	-0.02	1.03
0.03	-0.03	1.04
0.02	-0.04	1.02
0.03	-0.04	1.02
0.02	-0.04	1.02
0.02	-0.03	1.02
0.03	-0.04	1.02
0.02	-0.04	1.03
0.03	-0.04	1.02
0.02	-0.04	1.02
0.02	-0.04	1.02
0.02	-0.03	1.03
0.03	-0.04	1.03
0.03	-0.04	1.02
0.02	-0.04	1.02
0.02	-0.03	1.02
0.02	-0.03	1.02
0.03	-0.03	1.04
0.03	-0.04	1.03
0.03	-0.04	1.02
0.02	-0.04	1.02
0.02	-0.03	1.02
0.03	-0.03	1.03
0.02	-0.04	1.02
0.02	-0.04	1.02
0.03	-0.05	1.02
0.02	-0.03	1.02
0.02	-0.03	1.04
0.03	-0.04	1.03
0.03	-0.04	1.02
0.02	-0.04	1.02
0.02	-0.03	1.03
0.02	-0.04	1.03
0.03	-0.04	1.03
0.03	-0.03	1.02
0.03	-0.04	1.03
0.03	-0.04	1.03
0.03	-0.03	1.02
0.02	-0.03	1.04
0.03	-0.03	1.03
0.03	-0.04	1.02
0.02	-0.03	1.02
0.03	-0.04	1.02
0.02	-0.03	1.02
0.03	-0.04	1.03
0.03	-0.04	1.03
0.03	-0.04	1.02
0.03	-0.04	1.02
0.03	-0.03	1.02
0.03	-0.03	1.03
0.02	-0.03	1.02
0.02	-0.03	1.03
0.03	-0.03	1.02
0.02	-0.03	1.02
0.03	-0.04	1.03
0.03	-0.03	1.03
0.02	-0.03	1.02
0.03	-0.04	1.03
0.03	-0.03	1.03
0.03	-0.04	1.02
0.03	-0.04	1.02
0.03	-0.03	1.02
0.02	-0.03	1.03
0.02	-0.03	1.02
0.03	-0.04	1.01
0.03	-0.04	1.02
0.02	-0.03	1.04
0.02	-0.03	1.04
0.02	-0.04	1.02
0.02	-0.04	1.02
0.02	-0.03	1.03
0.03	-0.03	1.04
0.02	-0.03	1.03
0.03	-0.04	1.03
0.03	-0.04	1.03
0.03	-0.04	1.02
0.02	-0.03	1.02
0.02	-0.03	1.03
0.02	-0.04	1.02
0.02	-0.04	1.02
0.02	-0.03	1.02
0.02	-0.04	1.02
0.03	-0.04	1.02
0.02	-0.04	1.02
0.03	-0.03	1.03
0.03	-0.03	1.02
0.03	-0.03	1.02
0.02	-0.03	1.03
0.02	-0.04	1.03
0.02	-0.04	1.02
0.03	-0.04	1.02
0.02	-0.03	1.03
0.02	-0.03	1.02
0.02	-0.03	1.02
0.02	-0.03	1.03
0.02	-0.03	1.03
0.04	-0.04	1.02
0.03	-0.04	1.03
0.02	-0.03	1.03
0.02	-0.03	1.02
0.02	-0.03	1.02
0.03	-0.03	1.02
0.03	-0.05	1.03
0.02	-0.03	1.02
0.03	-0.04	1.02
0.03	-0.03	1.02
0.03	-0.03	1.03
0.03	-0.04	1.02
0.02	-0.03	1.03
0.02	-0.02	1.04
0.03	-0.03	1.03
0.03	-0.04	1.02
0.03	-0.04	1.02
0.03	-0.04	1.02
0.02	-0.04	1.02
0.02	-0.03	1.02
0.02	-0.03	1.02
0.02	-0.04	1.02
0.02	-0.04	1.05
0.03	-0.04	1.02
0.02	-0.04	1.02
0.02	-0.04	1.02
0.03	-0.04	1.03
0.02	-0.04	1.03
0.02	-0.04	1.02
0.03	-0.03	1.02
0.02	-0.03	1.02
0.02	-0.03	1.02
0.02	-0.04	1.02
0.02	-0.04	1.02
0.03	-0.04	1.03
0.03	-0.04	1.02
0.04	-0.04	1.02
0.02	-0.03	1.03
0.03	-0.04	1.03
0.03	-0.04	1.02
0.02	-0.03	1.02
0.02	-0.04	1.02
0.02	-0.03	1.03
0.02	-0.04	1.02
0.03	-0.04	1.03
0.02	-0.04	1.03
0.02	-0.03	1.02
0.03	-0.04	1.02
0.03	-0.04	1.04
0.03	-0.04	1.03
0.03	-0.03	1.02
0.02	-0.03	1.02
0.02	-0.03	1.03
0.02	-0.03	1.03
0.03	-0.04	1.02
0.02	-0.04	1.02
0.02	-0.03	1.02
0.03	-0.03	1.02
0.02	-0.04	1.02
0.02	-0.04	1.02
0.02	-0.04	1.04
0.03	-0.04	1.03
0.02	-0.03	1.02
0.03	-0.03	1.02
0.03	-0.04	1.03
0.03	-0.04	1.03
0.03	-0.04	1.02
0.02	-0.04	1.01
0.02	-0.03	1.02
0.02	-0.03	1.03
0.04	-0.04	1.02
0.03	-0.03	1.02
0.02	-0.02	1.03
0.03	-0.04	1.03
0.03	-0.04	1.02
0.02	-0.03	1.03
0.02	-0.04	1.03
0.03	-0.04	1.02
0.02	-0.03	1.03
0.03	-0.03	1.02
0.03	-0.04	1.03
0.03	-0.04	1.03
0.03	-0.03	1.04
0.03	-0.03	1.03
0.02	-0.03	1.03
0.04	-0.05	1.03
0.03	-0.04	1.03
0.02	-0.03	1.04
0.03	-0.03	1.03
0.03	-0.04	1.02
0.03	-0.04	1.02
0.02	-0.03	1.03
0.03	-0.03	1.03
0.03	-0.04	1.02
0.03	-0.04	1.03
0.03	-0.04	1.02
0.02	-0.04	1.02
0.03	-0.04	1.02
0.02	-0.03	1.02
0.02	-0.03	1.02
0.03	-0.04	1.02
0.03	-0.03	1.03
0.03	-0.04	1.04
0.03	-0.04	1.03
0.03	-0.04	1.02
0.02	-0.03	1.02
0.02	-0.03	1.03
0.02	-0.04	1.02
0.02	-0.04	1.02
0.02	-0.04	1.02
0.02	-0.04	1.02
0.02	-0.04	1.02
0.03	-0.03	1.03
0.03	-0.03	1.04
0.03	-0.03	1.03
0.02	-0.04	1.02
0.02	-0.02	1.02
0.02	-0.02	1.03
0.02	-0.03	1.03
0.02	-0.05	1.02
0.03	-0.04	1.01
0.03	-0.04	1.02
0.02	-0.04	1.02
0.02	-0.03	1.02
0.02	-0.03	1.02
0.02	-0.03	1.02
0.03	-0.04	1.02
0.03	-0.04	1.03
0.03	-0.04	1.02
0.03	-0.03	1.02
0.03	-0.03	1.02
0.03	-0.03	1.02
0.03	-0.04	1.02
0.03	-0.04	1.03
0.02	-0.03	1.03
0.02	-0.04	1.02
0.02	-0.04	1.02
0.03	-0.03	1.02
0.03	-0.04	1.03
0.03	-0.03	1.03
0.03	-0.03	1.02
0.02	-0.03	1.02
0.02	-0.03	1.03
0.03	-0.04	1.03
0.03	-0.04	1.02
0.02	-0.03	1.03
0.02	-0.03	1.03
0.03	-0.04	1.02
0.03	-0.04	1.02
0.03	-0.04	1.03
0.03	-0.03	1.04
0.02	-0.02	1.03
0.02	-0.03	1.02
0.03	-0.04	1.02
0.02	-0.04	1.03
0.03	-0.03	1.03
0.02	-0.03	1.03
0.02	-0.04	1.02
0.02	-0.03	1.03
0.03	-0.04	1.03
0.03	-0.04	1.03
0.03	-0.04	1.03
0.03	-0.04	1.03
0.03	-0.04	1.03
0.03	-0.03	1.03
0.03	-0.03	1.03
0.03	-0.03	1.03
0.03	-0.04	1.03
0.03	-0.04	1.03
0.02	-0.03	1.04
0.02	-0.04	1.03
0.04	-0.04	1.03
0.03	-0.03	1.03
0.03	-0.03	1.04
0.04	-0.04	1.02
0.03	-0.04	1.02
0.02	-0.03	1.03
0.02	-0.03	1.04
0.03	-0.04	1.02
0.03	-0.04	1.02
0.02	-0.04	1.03
0.02	-0.03	1.04
0.02	-0.04	1.04
0.03	-0.04	1.03
0.03	-0.03	1.03
0.03	-0.03	1.03
0.02	-0.03	1.03
0.03	-0.04	1.03
0.03	-0.03	1.03
0.03	-0.03	1.03
0.03	-0.03	1.04
0.03	-0.03	1.03
0.02	-0.04	1.03
0.03	-0.04	1.03
0.03	-0.04	1.02
0.02	-0.04	1.02
0.03	-0.03	1.03
0.03	-0.03	1.03
0.03	-0.03	1.04
0.03	-0.03	1.03
0.03	-0.03	1.03
0.03	-0.04	1.02
0.03	-0.04	1.02
0.02	-0.04	1.03
0.03	-0.04	1.02
0.03	-0.04	1.02
0.02	-0.04	1.03
0.02	-0.03	1.04
0.03	-0.04	1.02
0.04	-0.04	1.03
0.03	-0.04	1.03
0.03	-0.04	1.03
0.02	-0.04	1.03
0.02	-0.03	1.03
0.03	-0.04	1.03
0.04	-0.04	1.03
0.03	-0.04	1.03
0.03	-0.04	1.02
0.03	-0.03	1.04
0.03	-0.04	1.03
0.03	-0.04	1.03
0.03	-0.04	1.03
0.02	-0.03	1.03
0.03	-0.04	1.03
0.02	-0.04	1.03
0.03	-0.04	1.04
0.03	-0.04	1.03
0.03	-0.04	1.03
0.02	-0.03	1.03
0.03	-0.04	1.03
0.02	-0.04	1.02
0.02	-0.03	1.02
0.03	-0.04	1.02
0.03	-0.04	1.02
0.03	-0.04	1.02
0.03	-0.04	1.04
0.03	-0.04	1.03
0.03	-0.04	1.03
0.03	-0.04	1.02
0.03	-0.04	1.03
0.03	-0.04	1.03
0.03	-0.03	1.03
0.02	-0.03	1.03
0.03	-0.04	1.02
0.03	-0.04	1.03
0.03	-0.04	1.04
0.03	-0.04	1.03
0.03	-0.04	1.03
0.03	-0.04	1.03
0.03	-0.03	1.03
0.03	-0.04	1.03
0.03	-0.04	1.03
0.03	-0.04	1.03
0.02	-0.03	1.03
0.03	-0.04	1.03
0.03	-0.04	1.03
0.03	-0.04	1.03
0.03	-0.04	1.04
0.03	-0.04	1.03
0.03	-0.04	1.03
0.03	-0.03	1.03
0.03	-0.04	1.03
0.03	-0.03	1.03
0.03	-0.03	1.03
0.03	-0.04	1.03
0.03	-0.04	1.02
0.03	-0.04	1.02
0.02	-0.04	1.03
0.03	-0.03	1.03
0.03	-0.04	1.03
0.04	-0.04	1.03
0.03	-0.04	1.02
0.02	-0.03	1.04
0.02	-0.03	1.04
